,Average Number of comas per thousand tokens,Average Number of semicolons per thousand tokens,Average Number of quotation marks per thousand tokens,Average Number of exclamation marks per thousand tokens,Average Number of hyphens per thousand tokens,Average Number of ands per thousand tokens,Average Number of buts per thousand tokens,Average Number of howevers per thousand tokens,Average Number of ifs per thousand tokens,Average Number of thats per thousand tokens,Average Number of mores per thousand tokens,Average Number of musts per thousand tokens,Average Number of mights per thousand tokens,Average Number of thiss per thousand tokens,Average Number of verys per thousand tokens,Mean Word Length,Mean Sentence Length,Standard deviation of Sentence Length
The First Men in the Moon by H. G. Wells.txt,57.4125,2.4875,30.6,5.1875,0.0875,33.9,4.8125,0.1875,2.375,13.4125,1.5,1.75,1.175,4.5375,2.1375,4.41058749427,89.1531089815,78.6303777686,
The Invisible Man_ A Grotesque Romance by H. G. Wells.txt,62.593220339,2.13559322034,43.5762711864,7.0,0.118644067797,35.2542372881,4.67796610169,0.186440677966,1.8813559322,7.86440677966,0.949152542373,1.40677966102,0.525423728814,3.20338983051,1.64406779661,4.45762779713,74.3878326996,71.9423170851,
