,Average Number of comas per thousand tokens,Average Number of semicolons per thousand tokens,Average Number of quotation marks per thousand tokens,Average Number of exclamation marks per thousand tokens,Average Number of hyphens per thousand tokens,Average Number of ands per thousand tokens,Average Number of buts per thousand tokens,Average Number of howevers per thousand tokens,Average Number of ifs per thousand tokens,Average Number of thats per thousand tokens,Average Number of mores per thousand tokens,Average Number of musts per thousand tokens,Average Number of mights per thousand tokens,Average Number of thiss per thousand tokens,Average Number of verys per thousand tokens,Mean Word Length,Mean Sentence Length,Standard deviation of Sentence Length
42455-0.txt,43.96,10.6971428571,17.8114285714,4.37142857143,0.0342857142857,25.7542857143,4.97714285714,0.725714285714,2.72571428571,13.1371428571,1.37714285714,1.21714285714,1.78285714286,3.53714285714,1.15428571429,4.13586901444,107.954027356,73.4730894432,
pg345.txt,61.5923913043,9.15217391304,17.777173913,4.08695652174,0.0380434782609,31.9130434783,5.79891304348,0.548913043478,3.52717391304,13.3695652174,1.92934782609,2.42391304348,0.858695652174,3.58152173913,1.51086956522,4.08057471051,102.109627547,82.5748788074,
